Wiek;Łącznie ludność;mężczyźni;kobiety
0;657;324;333
1;809;416;393
2;866;471;395
3;888;452;436
4;978;523;455
5;1022;514;508
6;1034;561;473
7;1067;573;494
8;978;482;496
9;1022;528;494
10;996;517;479
11;1143;596;547
12;1048;550;498
13;1125;585;540
14;1241;636;605
15;1179;569;610
16;1069;533;536
17;1159;609;550
18;932;464;468
19;824;433;391
20;919;465;454
21;817;443;374
22;868;424;444
23;1022;541;481
24;970;479;491
25;1018;531;487
26;1033;539;494
27;1089;536;553
28;1142;584;558
29;1214;630;584
30;1352;676;676
31;1252;637;615
32;1420;747;673
33;1449;753;696
34;1489;744;745
35;1508;760;748
36;1515;802;713
37;1637;809;828
38;1810;911;899
39;1924;945;979
40;1914;943;971
41;1874;946;928
42;1778;888;890
43;1887;915;972
44;1919;950;969
45;1867;928;939
46;1954;970;984
47;1833;925;908
48;1856;912;944
49;1674;790;884
50;1577;775;802
51;1534;735;799
52;1468;691;777
53;1489;703;786
54;1420;681;739
55;1402;675;727
56;1386;639;747
57;1323;639;684
58;1322;620;702
59;1310;597;713
60;1351;620;731
61;1331;593;738
62;1279;563;716
63;1402;598;804
64;1496;653;843
65;1640;688;952
66;1598;613;985
67;1649;641;1008
68;1692;681;1011
69;1630;676;954
70;1642;637;1005
71;1606;605;1001
72;1569;638;931
73;1455;605;850
74;1420;583;837
75;1286;467;819
76;1245;472;773
77;1222;473;749
78;735;279;456
79;595;231;364
80;655;229;426
81;625;231;394
82;560;176;384
83;476;161;315
84;438;150;288
85 i więcej;2321;689;1632
